RTT,Throughput,TotalDataTransfered
2.0640625,23.190055101798116,2.0640625
2.0640625,107445.50628983545,2.0640625
2.0640625,147646.70060708962,2.0640625
2.0640625,92844.97560764823,2.0640625
2.0640625,105852.51215819705,2.0640625
2.0640625,166481.0553581751,2.0640625
2.0640625,146030.6816392322,2.0640625
2.0640625,162236.45498296423,2.0640625
2.0640625,148204.16420467582,2.0640625
2.0640625,118991.07385543994,2.0640625
2.0640625,52972.663886809525,2.0640625
2.0640625,65808.0239587416,2.0640625
2.0640625,135209.85430282837,2.0640625
2.0640625,83864.39623150094,2.0640625
2.0640625,62673.908279119816,2.0640625
2.0640625,89701.12396797333,2.0640625
2.0640625,152763.14438741378,2.0640625
2.0640625,122866.11574785951,2.0640625
2.0640625,32082.57504527102,2.0640625
2.0640625,69654.53315052924,2.0640625
2.0640625,52295.85969792225,2.0640625
2.0640625,84699.67383232617,2.0640625
2.0640625,79746.1983245707,2.0640625
2.0640625,80239.77911735338,2.0640625
2.0640625,80991.99373628946,2.0640625
2.0640625,51186.083783462134,2.0640625
2.0640625,58863.04935567366,2.0640625
2.0640625,75361.23626404301,2.0640625
2.0640625,72925.31851799288,2.0640625
2.0640625,71658.00082076224,2.0640625
2.0640625,75882.6967880059,2.0640625
2.0640625,48203.49033169294,2.0640625
2.0640625,79605.23878610237,2.0640625
2.0640625,101339.1062434295,2.0640625
2.0640625,105263.6988252863,2.0640625
2.0640625,104065.56935936565,2.0640625
2.0640625,57392.7092475385,2.0640625
2.0640625,100836.77756106507,2.0640625
2.0640625,83237.99038993509,2.0640625
2.0640625,104644.76082774079,2.0640625
2.0640625,100612.1225279197,2.0640625
2.0640625,96817.04516053107,2.0640625
2.0640625,103314.4621785212,2.0640625
2.0640625,56584.23783945873,2.0640625
2.0640625,68116.80968682848,2.0640625
2.0640625,51239.10186128017,2.0640625
2.0640625,56671.21627879257,2.0640625
2.0640625,101717.72852274335,2.0640625
2.0640625,84863.05063657631,2.0640625
2.0640625,155900.30959383972,2.0640625
2.0640625,141366.41516684397,2.0640625
2.0640625,147250.73245018686,2.0640625
2.0640625,151541.21790137942,2.0640625
2.0640625,141927.27982184803,2.0640625
2.0640625,106025.81779659216,2.0640625
2.0640625,128703.03982940737,2.0640625
2.0640625,112654.98303379935,2.0640625
2.0640625,133104.77631292125,2.0640625
2.0640625,83943.88699562497,2.0640625
2.0640625,126720.71449944175,2.0640625
2.0640625,90381.01898924905,2.0640625
2.0640625,122034.60577652995,2.0640625
2.0640625,101577.35066883187,2.0640625
2.0640625,92436.60483143522,2.0640625
2.0640625,121857.43308433739,2.0640625
2.0640625,129526.18283507747,2.0640625
2.0640625,62412.38487779242,2.0640625
2.0640625,129687.96959542234,2.0640625
2.0640625,140950.72918975094,2.0640625
2.0640625,130581.01532258267,2.0640625
2.0640625,166584.98791161992,2.0640625
2.0640625,147268.9972434475,2.0640625
2.0640625,142688.68567945602,2.0640625
2.0640625,131677.9291431314,2.0640625
2.0640625,92548.1353065871,2.0640625
2.0640625,62745.53063894492,2.0640625
2.0640625,110421.87321486024,2.0640625
2.0640625,102324.53543190446,2.0640625
2.0640625,121606.71711997078,2.0640625
2.0640625,77091.2363417926,2.0640625
2.0640625,134257.885611464,2.0640625
2.0640625,133458.23260066437,2.0640625
2.0640625,119170.75089556938,2.0640625
2.0640625,72978.13509637288,2.0640625
2.0640625,159508.38980944094,2.0640625
2.0640625,103795.53081175049,2.0640625
2.0640625,90315.55336414908,2.0640625
2.0640625,94502.21400287272,2.0640625
2.0640625,110927.55600845713,2.0640625
2.0640625,95400.57890782792,2.0640625
2.0640625,68918.81085155347,2.0640625
2.0640625,75775.86556738622,2.0640625
2.0640625,66310.9896706136,2.0640625
2.0640625,42696.910261198245,2.0640625
2.0640625,60614.3566686391,2.0640625
2.0640625,58804.90789085121,2.0640625
