RTT,Throughput,TotalDataTransfered
2.0640625,65819.70918200827,2.0640625
2.0640625,64583.267688450105,2.0640625
2.0640625,57713.02278000317,2.0640625
2.0640625,64130.16420835626,2.0640625
2.0640625,55831.50217087066,2.0640625
2.0640625,51780.85175597253,2.0640625
2.0640625,44279.357781195846,2.0640625
2.0640625,63517.85985913476,2.0640625
2.0640625,63897.61396236725,2.0640625
2.0640625,64414.314901119855,2.0640625
2.0640625,63872.305371584116,2.0640625
2.0640625,62101.58361244501,2.0640625
2.0640625,65538.93605224635,2.0640625
2.0640625,40752.63019285539,2.0640625
2.0640625,53244.97300449729,2.0640625
2.0640625,68626.90078931511,2.0640625
2.0640625,69022.05549988747,2.0640625
2.0640625,70743.57614189405,2.0640625
2.0640625,44689.007225807974,2.0640625
2.0640625,63593.39982256395,2.0640625
2.0640625,64850.76093380876,2.0640625
2.0640625,67997.17134658535,2.0640625
2.0640625,51979.92633058455,2.0640625
2.0640625,65651.809772412,2.0640625
2.0640625,67905.18481566265,2.0640625
2.0640625,55985.30938411767,2.0640625
2.0640625,51975.73797106636,2.0640625
2.0640625,68988.28429711104,2.0640625
2.0640625,77453.34314289561,2.0640625
2.0640625,69110.85576412968,2.0640625
2.0640625,67591.70720359168,2.0640625
2.0640625,58009.43788451377,2.0640625
2.0640625,70595.67684884398,2.0640625
2.0640625,62593.69565644103,2.0640625
2.0640625,62168.317447623886,2.0640625
2.0640625,40194.65362519888,2.0640625
2.0640625,71300.44107851124,2.0640625
2.0640625,74937.47601206029,2.0640625
2.0640625,81530.52857762566,2.0640625
2.0640625,48941.034819759305,2.0640625
2.0640625,69149.70850438974,2.0640625
2.0640625,66307.39372599106,2.0640625
2.0640625,56676.82313219518,2.0640625
2.0640625,39310.964001339584,2.0640625
2.0640625,61751.986425938405,2.0640625
2.0640625,58914.35634602416,2.0640625
2.0640625,56395.661880566324,2.0640625
2.0640625,65657.33470005787,2.0640625
2.0640625,80282.79303101546,2.0640625
2.0640625,78250.74431379695,2.0640625
2.0640625,65844.09766390041,2.0640625
2.0640625,44516.19878312353,2.0640625
2.0640625,63472.77936976898,2.0640625
2.0640625,50624.087696170754,2.0640625
2.0640625,51299.10339705908,2.0640625
2.0640625,58670.348749897115,2.0640625
2.0640625,68722.69916114835,2.0640625
2.0640625,68531.31177223436,2.0640625
2.0640625,70352.80311188889,2.0640625
2.0640625,54832.113485148024,2.0640625
2.0640625,67527.9112146275,2.0640625
2.0640625,62519.556310273394,2.0640625
2.0640625,47131.24775330146,2.0640625
2.0640625,74728.09369414499,2.0640625
2.0640625,67402.95396194818,2.0640625
2.0640625,81494.19284469375,2.0640625
2.0640625,83093.61432551625,2.0640625
2.0640625,77073.756342216,2.0640625
2.0640625,81414.57829507366,2.0640625
2.0640625,80341.2935282299,2.0640625
2.0640625,90604.43494563404,2.0640625
2.0640625,89146.86913007518,2.0640625
2.0640625,82759.51232927002,2.0640625
2.0640625,86819.29983884905,2.0640625
2.0640625,75070.01163232722,2.0640625
2.0640625,82499.14400207535,2.0640625
2.0640625,66326.02262170713,2.0640625
2.0640625,72924.99378407316,2.0640625
2.0640625,91834.44692710969,2.0640625
2.0640625,87242.11821405815,2.0640625
2.0640625,88983.99450098185,2.0640625
2.0640625,94588.19720603412,2.0640625
2.0640625,86854.00242450851,2.0640625
2.0640625,82126.13642243056,2.0640625
2.0640625,102604.69609609002,2.0640625
2.0640625,82217.13277416848,2.0640625
2.0640625,84801.55711628994,2.0640625
2.0640625,75957.98222137967,2.0640625
2.0640625,81266.53584256739,2.0640625
2.0640625,74875.76322202985,2.0640625
2.0640625,87518.65606115396,2.0640625
2.0640625,88060.8342065244,2.0640625
2.0640625,85795.91619121545,2.0640625
2.0640625,98189.98163955542,2.0640625
2.0640625,63727.71341620703,2.0640625
2.0640625,86966.6762224679,2.0640625
2.0640625,89626.4397973605,2.0640625
2.0640625,66660.59090623024,2.0640625
2.0640625,88120.89098098878,2.0640625
2.0640625,86018.52474616551,2.0640625
2.0640625,91280.95327471392,2.0640625
